Field,Value
Distribution Type,Histogram
Use,DRIVER
Units,sec
Source,Allen 2013 TableS1-6
Author,Clay Bell
Notes,Completion emisison durations in seconds from Allen et at 2013 SI Table S1-6
%%%ENDOFMETADATA%%%,
Duration,Probability
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.074074074
17280,0.037037037
17280,0.111111111
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
17280,0.037037037
