t,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,ts_10,new_sum,old_sum
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.5078133280571224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5078133280571224,3.5078133280571224
6,2.619932927644096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.619932927644096,2.619932927644096
7,2.619932927644096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.619932927644096,2.619932927644096
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.0435624791653497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0435624791653497,3.0435624791653497
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3.942494858372115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.942494858372115,3.942494858372115
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3.3562324400026586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3562324400026586,3.3562324400026586
16,3.3562324400026586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3562324400026586,3.3562324400026586
17,3.3562324400026586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3562324400026586,3.3562324400026586
18,3.3562324400026586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3562324400026586,3.3562324400026586
